year,total_fatalities,landing,intentional_low_turn,unintentional_low_turn,non_turn_landing,medical,incorrect_emergency_procedures,equipment_problem,malfunction,no_pull_or_low_pull,low_deployment,canopy_collision,freefall_collision,reserve_problem,cutaway_low_or_no_reserve,other,notes,source_url
2009,16,3,,,,2,,0,5,0,0,4,0,0,0,2,Parachutist April 2010 2009 fatality summary. Source categories: Malfunction 5; Collision 4; Landing 3; Other 4; no No Pull/Low Pull deaths; Reserve Problem 0. User checked page 41 notes: the 4 collision deaths were canopy collisions. Other included two natural-cause/medical deaths and two other non-collision cases; normalized as medical=2 and other=2.,local:/mnt/synology-backup/parachutist/April-2010/pages/page-042.jpg..page-047.jpg (magazine pp.40-45)
2010,21,9,,,,1,,0,1,4,0,5,0,0,0,1,"Parachutist April 2011 2010 fatality summary. Source categories: No Pull/Low Pull 4; Malfunction 1; Reserve Problem 0; Collisions 5; Landing 9; Other 2. User checked the article: although the section says it includes freefall collisions, the actual data is 5 canopy collisions: 4 landing-pattern canopy collisions plus 1 after opening. Other remains one heart-attack/medical death plus one other non-collision death, normalized as medical=1 and other=1.",local:/mnt/synology-backup/parachutist/April-2011/pages/page-036.jpg..page-043.jpg (magazine pp.34-41)
2011,25,6,,,,1,,0,5,2,0,7,1,1,0,2,"Parachutist April 2012 2011 fatality summary. Source categories: Collisions 8; Landing 6; Malfunctions 5; No Pulls 2; Reserve Problems 1; Other 3. Collision text says seven under canopy/landing area and one freefall collision. Other included one medical/heart attack, one military-equipment/vehicle incident, and one suicide; normalized as medical=1, other=2.",local:/mnt/synology-backup/parachutist/April-2012/pages/page-036.jpg..page-043.jpg (magazine pp.34-41)
2012,19,7,,,,2,,0,6,2,0,1,1,0,0,0,"Parachutist April 2013 'Lessons to Be Learned: The 2012 Fatality Summary'. Article pie chart categories: Landing Problem 7; Malfunction 6; Collision 2; No Pull/Low Pull 2; Other 2. Re-coded Other as medical because text says both were directly health-related. Collision split is inferred: one freefall collision and one canopy entanglement; article only gives combined Collision=2. Demographics: average jumps 2,049, median 850; years in sport average 14, median 11; age average 46, median 47.",local:/mnt/synology-backup/parachutist/April-2013/pages/page-040.jpg..page-045.jpg (printed pp.38-43; title 'Lessons to Be Learned: The 2012 Fatality Summary')
2013,24,7,,,,0,,0,6,5,0,0,4,0,0,2,Parachutist April 2014 'Identifying the Dangers: The 2013 Fatality Summary'. Article pie chart categories: Landing Problem 29%=7; Malfunction 25%=6; No Pull/Low Pull 21%=5; Collision 17%=4; Other 8%=2. User checked the 2013 row: no canopy fatalities in the collision category; all 4 collision deaths kept as freefall/object/freefall-collision deaths. Other includes harness/container and canopy-formation/wrap type cases; not medical.,local:/mnt/synology-backup/parachutist/April-2014/pages/page-032.jpg..page-037.jpg (printed pp.30-35; title 'Identifying the Dangers: The 2013 Fatality Summary')
2014,24,7,,,,0,,0,8,3,0,2,3,1,0,0,"Parachutist April 2015 'Basics: The 2014 Fatality Summary' by Paul Sitter. Numbers confirmed by user spot-check; page references corrected after user noted the summary pages are 48+. Article chart categories: Landing 29%=7; Malfunction 33%=8; Collision 21%=5; No Pull/Low Pull 13%=3; Reserve Problem 4%=1; Other 0. Collision split from incident descriptions: 3 freefall collisions and 2 canopy collisions. Text notes suspected medical factors in some incidents, but none were assigned to Other/medical by the article. Context box: 36,770 USPA members, estimated U.S. skydives 3,200,000, tandem jumps 500,000. Demographics: average age 47/median 49; average jumps 1,920/median 901; years in sport average 12/median 6.5. Archive image filenames carry different numbering than the published/PDF pagination; keep both when cross-checking.",local:/mnt/synology-backup/parachutist/April-2015/pages/page-044.jpg..page-050.jpg (printed pp.42-48; user spot-check says external/PDF article pages are 48+)
2015,21,7,,,,2,,0,5,1,0,2,0,4,0,0,"Parachutist April 2016 'Dangers of the Sport: The 2015 Fatality Summary' by Paul Sitter. User spot-check said 2015 numbers/pages were correct. Article chart categories: Landing 33%=7; Malfunction 24%=5; Reserve Problem 19%=4; Collision 10%=2; Other 10%=2; No Pull/Low Pull 5%=1. Re-coded Other as medical because text says both Other cases were likely health-related. Collision text says both were under canopy, so canopy_collision=2. Context box: membership 37,449, U.S. skydives 3,200,000, tandem jumps 500,000, average annual deaths since 1963 31.8, last 10 years 22.4.",local:/mnt/synology-backup/parachutist/April-2016/pages/page-034.jpg..page-040.jpg (printed pp.32-38; title 'Dangers of the Sport: The 2015 Fatality Summary')
2016,21,5,,,,2,,0,8,0,0,1,2,2,0,1,"Parachutist April 2017 'The Same Problems: 2016 Fatality Summary'. Article chart categories: Malfunction 38%=8; Landing Problems 24%=5; Collisions 14%=3; Other 14%=3; Reserve Problems 10%=2; No/Low Pull 0. Re-coded two Other cases as medical because text says apparent medical problems; remaining Other is a student falling from harness, equipment issue not apparent. Collision split from text: 2 freefall collisions and 1 canopy collision. Article also notes at least four fatalities involved equipment maintenance/installation factors, but these are contributing factors already counted under primary categories, so equipment_problem left 0 to avoid double counting. Context box: USPA membership 38,555; estimated U.S. skydives 4,000,000; tandem jumps 500,000; average annual deaths since 1963 32.3; last 10 years 21.9.",local:/mnt/synology-backup/parachutist/April-2017/pages/page-038.jpg..page-044.jpg with intervening ad (printed pp.36-42; title 'The Same Problems: 2016 Fatality Summary')
2017,24,6,2,,,0,0,0,11,1,0,2,1,1,0,2,USPA page groups no-pull/low-pull; landing text says two high-performance landing deaths. Remaining landing subcategories not parsed yet.,https://www.uspa.org/malfunction-malfunction-malfunctionthe-2017-fatality-summary
2018,13,2,0,1,1,4,4,2,0,0,0,0,1,0,0,0,Article categories: landing 2; medical 4; incorrect EP 4; freefall collision 1; canopy collision 0; equipment 2.,https://www.uspa.org/a-record-lowthe-2018-fatality-summary
2019,15,7,,,,0,, ,,,0,0,0,, , ,Landing 7 and no-pulls/canopy collisions 0 parsed. Other category counts need second-pass extraction from article.,https://www.uspa.org/striving-for-zerothe-2019-fatality-summary
2020,11,5,,,,2,2,0,0,0,0,0,0,0,1,1,"USPA page explicitly lists landing 5, medical 2, incorrect EP 2, cutaway with low/no reserve 1, no-pull 0, canopy collision 0. Remaining one not isolated in quick parse.",https://www.uspa.org/Discover/News/another-record-lowthe-2020-fatality-summary
2021,10,5,,,,3,1,0,0,0,0,0,0,0,0,1,"Landing 5, medical 3, incorrect EP 1 parsed; one remaining category needs second-pass extraction.",https://www.uspa.org/about-uspa/uspa-news/a-positive-directionthe-2021-fatality-summary
2022,20,12,8,2,2,1,2,2,0,0,0,0,0,0,0,3,"Parsed from Parachutist article; explicit categories sum 17, leaving 3 deaths in categories needing second-pass extraction.",https://parachutist.com/Article/a-step-backwardthe-2022-fatality-summary
2023,10,6,4,0,,1,1,1,0,0,0,0,0,0,0,1,Parsed explicit categories sum 9; one death category needs second-pass extraction. Non-turn landing count likely 2 by landing total minus intentional/unintentional but not confirmed in quick parse.,https://parachutist.com/Article/a-widespread-improvementthe-2023-fatality-summary
2024,9,4,2,0,2,1,0,1,0,0,1,1,0,0,0,1,"Parsed explicit categories sum 8, leaving one category needing second-pass extraction.",https://www.uspa.org/a-milestone-in-safetythe-2024-fatality-summary
2025,16,5,4,1,0,2,0,2,0,3,0,2,2,0,0,0,"Article heading says Landing Problems 4/25%, but subcategories list intentional 4 + unintentional 1 + non-turn 0; totals reconcile only if landing=5 (31.25%). Treat heading as likely typo until checked against graphic/PDF.",https://parachutist.com/Article/a-need-for-vigilance-the-2025-fatality-summary
